date,co_value,year,month,dayofweek,dayofyear
2022-01-01,0.15000000000000002,2022,1,5,1
2022-01-02,0.2,2022,1,6,2
2022-01-03,0.3,2022,1,0,3
2022-01-04,0.3,2022,1,1,4
2022-01-05,0.3,2022,1,2,5
2022-01-06,0.3,2022,1,3,6
2022-01-07,0.3,2022,1,4,7
2022-01-08,0.3,2022,1,5,8
2022-01-09,0.3,2022,1,6,9
2022-01-10,0.30000000000000004,2022,1,0,10
2022-01-11,0.75,2022,1,1,11
2022-01-12,0.85,2022,1,2,12
2022-01-13,0.85,2022,1,3,13
2022-01-14,0.5,2022,1,4,14
2022-01-15,0.35,2022,1,5,15
2022-01-16,0.35,2022,1,6,16
2022-01-17,0.30000000000000004,2022,1,0,17
2022-01-18,0.35,2022,1,1,18
2022-01-19,0.2,2022,1,2,19
2022-01-20,0.25,2022,1,3,20
2022-01-21,0.2,2022,1,4,21
2022-01-22,0.25,2022,1,5,22
2022-01-23,0.2,2022,1,6,23
2022-01-24,0.30000000000000004,2022,1,0,24
2022-01-25,0.30000000000000004,2022,1,1,25
2022-01-26,0.4,2022,1,2,26
2022-01-27,0.25,2022,1,3,27
2022-01-28,0.25,2022,1,4,28
2022-01-29,0.30000000000000004,2022,1,5,29
2022-01-30,0.25,2022,1,6,30
2022-01-31,0.30000000000000004,2022,1,0,31
2022-02-01,0.30000000000000004,2022,2,1,32
2022-02-02,0.2,2022,2,2,33
2022-02-03,0.25,2022,2,3,34
2022-02-04,0.25,2022,2,4,35
2022-02-05,0.25,2022,2,5,36
2022-02-06,0.30000000000000004,2022,2,6,37
2022-02-07,0.6,2022,2,0,38
2022-02-08,0.6,2022,2,1,39
2022-02-09,0.25,2022,2,2,40
2022-02-10,0.25,2022,2,3,41
2022-02-11,0.25,2022,2,4,42
2022-02-12,0.2,2022,2,5,43
2022-02-13,0.2,2022,2,6,44
2022-02-14,0.30000000000000004,2022,2,0,45
2022-02-15,0.2,2022,2,1,46
2022-02-16,0.2,2022,2,2,47
2022-02-17,0.25,2022,2,3,48
2022-02-18,0.25,2022,2,4,49
2022-02-19,0.2,2022,2,5,50
2022-02-20,0.5,2022,2,6,51
2022-02-21,0.5,2022,2,0,52
2022-02-22,0.25,2022,2,1,53
2022-02-23,0.25,2022,2,2,54
2022-02-24,0.25,2022,2,3,55
2022-02-25,0.25,2022,2,4,56
2022-02-26,0.2,2022,2,5,57
2022-02-27,0.4,2022,2,6,58
2022-02-28,0.44999999999999996,2022,2,0,59
2022-03-01,0.55,2022,3,1,60
2022-03-02,0.6000000000000001,2022,3,2,61
2022-03-03,0.25,2022,3,3,62
2022-03-04,0.3,2022,3,4,63
2022-03-05,0.35,2022,3,5,64
2022-03-06,0.2,2022,3,6,65
2022-03-07,0.25,2022,3,0,66
2022-03-08,0.30000000000000004,2022,3,1,67
2022-03-09,0.2,2022,3,2,68
2022-03-10,0.25,2022,3,3,69
2022-03-11,0.2,2022,3,4,70
2022-03-12,0.25,2022,3,5,71
2022-03-13,0.30000000000000004,2022,3,6,72
2022-03-14,0.25,2022,3,0,73
2022-03-15,0.3,2022,3,1,74
2022-03-16,0.25,2022,3,2,75
2022-03-17,0.25,2022,3,3,76
2022-03-18,0.30000000000000004,2022,3,4,77
2022-03-19,0.44999999999999996,2022,3,5,78
2022-03-20,0.65,2022,3,6,79
2022-03-21,0.2,2022,3,0,80
2022-03-22,0.2,2022,3,1,81
2022-03-23,0.2,2022,3,2,82
2022-03-24,0.30000000000000004,2022,3,3,83
2022-03-25,0.4,2022,3,4,84
2022-03-26,0.25,2022,3,5,85
2022-03-27,0.2,2022,3,6,86
2022-03-28,0.2,2022,3,0,87
2022-03-29,0.2,2022,3,1,88
2022-03-30,0.25,2022,3,2,89
2022-03-31,0.35,2022,3,3,90
2022-04-01,0.5,2022,4,4,91
2022-04-02,0.35,2022,4,5,92
2022-04-03,0.5,2022,4,6,93
2022-04-04,0.25,2022,4,0,94
2022-04-05,0.25,2022,4,1,95
2022-04-06,0.25,2022,4,2,96
2022-04-07,0.2,2022,4,3,97
2022-04-08,0.25,2022,4,4,98
2022-04-09,0.30000000000000004,2022,4,5,99
2022-04-10,0.25,2022,4,6,100
2022-04-11,0.25,2022,4,0,101
2022-04-12,0.2,2022,4,1,102
2022-04-13,0.2,2022,4,2,103
2022-04-14,0.15000000000000002,2022,4,3,104
2022-04-15,0.25,2022,4,4,105
2022-04-16,0.2,2022,4,5,106
2022-04-17,0.2,2022,4,6,107
2022-04-18,0.2,2022,4,0,108
2022-04-19,0.2,2022,4,1,109
2022-04-20,0.4,2022,4,2,110
2022-04-21,0.5,2022,4,3,111
2022-04-22,0.2,2022,4,4,112
2022-04-23,0.2,2022,4,5,113
2022-04-24,0.15000000000000002,2022,4,6,114
2022-04-25,0.2,2022,4,0,115
2022-04-26,0.35,2022,4,1,116
2022-04-27,0.2,2022,4,2,117
2022-04-28,0.2,2022,4,3,118
2022-04-29,0.2,2022,4,4,119
2022-04-30,0.25,2022,4,5,120
2022-05-01,0.25,2022,5,6,121
2022-05-02,0.25,2022,5,0,122
2022-05-03,0.25,2022,5,1,123
2022-05-04,0.2,2022,5,2,124
2022-05-05,0.30000000000000004,2022,5,3,125
2022-05-06,0.25,2022,5,4,126
2022-05-07,0.25,2022,5,5,127
2022-05-08,0.2,2022,5,6,128
2022-05-09,0.25,2022,5,0,129
2022-05-10,0.3,2022,5,1,130
2022-05-11,0.3,2022,5,2,131
2022-05-12,0.2,2022,5,3,132
2022-05-13,0.5,2022,5,4,133
2022-05-14,0.7,2022,5,5,134
2022-05-15,0.3,2022,5,6,135
2022-05-16,0.4,2022,5,0,136
2022-05-17,0.3,2022,5,1,137
2022-05-18,0.3,2022,5,2,138
2022-05-19,0.3,2022,5,3,139
2022-05-20,0.3,2022,5,4,140
2022-05-21,0.3,2022,5,5,141
2022-05-22,0.3,2022,5,6,142
2022-05-23,0.2,2022,5,0,143
2022-05-24,0.15000000000000002,2022,5,1,144
2022-05-25,0.25,2022,5,2,145
2022-05-26,0.30000000000000004,2022,5,3,146
2022-05-27,0.44999999999999996,2022,5,4,147
2022-05-28,0.2,2022,5,5,148
2022-05-29,0.2,2022,5,6,149
2022-05-30,0.2,2022,5,0,150
2022-05-31,0.25,2022,5,1,151
2022-06-01,0.2,2022,6,2,152
2022-06-02,0.30000000000000004,2022,6,3,153
2022-06-03,0.4,2022,6,4,154
2022-06-04,0.2,2022,6,5,155
2022-06-05,0.25,2022,6,6,156
2022-06-06,0.3,2022,6,0,157
2022-06-07,0.25,2022,6,1,158
2022-06-08,0.25,2022,6,2,159
2022-06-09,0.35,2022,6,3,160
2022-06-10,0.4,2022,6,4,161
2022-06-11,0.5,2022,6,5,162
2022-06-12,0.3,2022,6,6,163
2022-06-13,0.2,2022,6,0,164
2022-06-14,0.15000000000000002,2022,6,1,165
2022-06-15,0.2,2022,6,2,166
2022-06-16,0.25,2022,6,3,167
2022-06-17,0.2,2022,6,4,168
2022-06-18,0.2,2022,6,5,169
2022-06-19,0.2,2022,6,6,170
2022-06-20,0.2,2022,6,0,171
2022-06-21,0.25,2022,6,1,172
2022-06-22,0.25,2022,6,2,173
2022-06-23,0.2,2022,6,3,174
2022-06-24,0.2,2022,6,4,175
2022-06-25,0.25,2022,6,5,176
2022-06-26,0.2,2022,6,6,177
2022-06-27,0.30000000000000004,2022,6,0,178
2022-06-28,0.1,2022,6,1,179
2022-06-29,0.15000000000000002,2022,6,2,180
2022-06-30,0.35,2022,6,3,181
2022-07-01,0.35,2022,7,4,182
2022-07-02,0.35,2022,7,5,183
2022-07-03,0.2,2022,7,6,184
2022-07-04,0.2,2022,7,0,185
2022-07-05,0.15000000000000002,2022,7,1,186
2022-07-06,0.25,2022,7,2,187
2022-07-07,0.2,2022,7,3,188
2022-07-08,0.25,2022,7,4,189
2022-07-09,0.25,2022,7,5,190
2022-07-10,0.2,2022,7,6,191
2022-07-11,0.2,2022,7,0,192
2022-07-12,0.25,2022,7,1,193
2022-07-13,0.25,2022,7,2,194
2022-07-14,0.2,2022,7,3,195
2022-07-15,0.25,2022,7,4,196
2022-07-16,0.25,2022,7,5,197
2022-07-17,0.25,2022,7,6,198
2022-07-18,0.30000000000000004,2022,7,0,199
2022-07-19,0.25,2022,7,1,200
2022-07-20,0.25,2022,7,2,201
2022-07-21,0.25,2022,7,3,202
2022-07-22,0.2,2022,7,4,203
2022-07-23,0.2,2022,7,5,204
2022-07-24,0.2,2022,7,6,205
2022-07-25,0.2,2022,7,0,206
2022-07-26,0.25,2022,7,1,207
2022-07-27,0.25,2022,7,2,208
2022-07-28,0.2,2022,7,3,209
2022-07-29,0.35,2022,7,4,210
2022-07-30,0.2,2022,7,5,211
2022-07-31,0.2,2022,7,6,212
2022-08-01,0.25,2022,8,0,213
2022-08-02,0.2,2022,8,1,214
2022-08-03,0.25,2022,8,2,215
2022-08-04,0.2,2022,8,3,216
2022-08-05,0.2,2022,8,4,217
2022-08-06,0.2,2022,8,5,218
2022-08-07,0.2,2022,8,6,219
2022-08-08,0.2,2022,8,0,220
2022-08-09,0.2,2022,8,1,221
2022-08-10,0.2,2022,8,2,222
2022-08-11,0.3,2022,8,3,223
2022-08-12,0.2,2022,8,4,224
2022-08-13,0.25,2022,8,5,225
2022-08-14,0.2,2022,8,6,226
2022-08-15,0.15000000000000002,2022,8,0,227
2022-08-16,0.30000000000000004,2022,8,1,228
2022-08-17,0.35,2022,8,2,229
