"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2025","AQS","060070008","3","0.5","ppm","6","Chico-East Avenue","18","75.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/02/2025","AQS","060070008","3","0.4","ppm","5","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/03/2025","AQS","060070008","3","0.4","ppm","5","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/04/2025","AQS","060070008","3","0.3","ppm","3","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/05/2025","AQS","060070008","3","0.5","ppm","6","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/06/2025","AQS","060070008","3","0.5","ppm","6","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/07/2025","AQS","060070008","3","0.5","ppm","6","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/08/2025","AQS","060070008","3","0.6","ppm","7","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/09/2025","AQS","060070008","3","0.7","ppm","8","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/10/2025","AQS","060070008","3","0.9","ppm","10","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/11/2025","AQS","060070008","3","0.5","ppm","6","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/12/2025","AQS","060070008","3","0.5","ppm","6","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/13/2025","AQS","060070008","3","0.5","ppm","6","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/14/2025","AQS","060070008","3","0.6","ppm","7","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/15/2025","AQS","060070008","3","0.7","ppm","8","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/16/2025","AQS","060070008","3","0.8","ppm","9","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/17/2025","AQS","060070008","3","0.8","ppm","9","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/18/2025","AQS","060070008","3","0.8","ppm","9","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/19/2025","AQS","060070008","3","1","ppm","11","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/20/2025","AQS","060070008","3","0.7","ppm","8","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/21/2025","AQS","060070008","3","0.8","ppm","9","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/22/2025","AQS","060070008","3","0.9","ppm","10","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/23/2025","AQS","060070008","3","0.8","ppm","9","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/24/2025","AQS","060070008","3","0.8","ppm","9","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/25/2025","AQS","060070008","3","0.6","ppm","7","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/26/2025","AQS","060070008","3","0.3","ppm","3","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/27/2025","AQS","060070008","3","0.5","ppm","6","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/28/2025","AQS","060070008","3","0.6","ppm","7","Chico-East Avenue","15","63.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/29/2025","AQS","060070008","3","0.8","ppm","9","Chico-East Avenue","15","63.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/30/2025","AQS","060070008","3","0.8","ppm","9","Chico-East Avenue","13","54.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"01/31/2025","AQS","060070008","3","0.6","ppm","7","Chico-East Avenue","22","92.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/01/2025","AQS","060070008","3","0.2","ppm","2","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/02/2025","AQS","060070008","3","0.2","ppm","2","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/03/2025","AQS","060070008","3","0.2","ppm","2","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/04/2025","AQS","060070008","3","0.2","ppm","2","Chico-East Avenue","18","75.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/05/2025","AQS","060070008","3","0.5","ppm","6","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/06/2025","AQS","060070008","3","0.7","ppm","8","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/07/2025","AQS","060070008","3","0.3","ppm","3","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/08/2025","AQS","060070008","3","0.3","ppm","3","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/09/2025","AQS","060070008","3","0.2","ppm","2","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/10/2025","AQS","060070008","3","0.5","ppm","6","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/11/2025","AQS","060070008","3","0.8","ppm","9","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/12/2025","AQS","060070008","3","0.5","ppm","6","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
"02/13/2025","AQS","060070008","3","0.4","ppm","5","Chico-East Avenue","24","100.0000","42101","Carbon monoxide","593","17020","Chico, CA","06","California","007","Butte","39.76168","-121.84047"
